date,股票代码,open,close,high,low,volume,成交额,振幅,pct,涨跌额,换手率
2026-04-09,688568,60.03,59.55,60.87,59.23,85170,510577252.0,2.7,-2.14,-1.3,1.05
2026-04-10,688568,60.2,59.58,61.18,59.53,86663,522213412.0,2.77,0.05,0.03,1.07
2026-04-13,688568,59.18,59.8,60.33,58.85,77710,464567007.0,2.48,0.37,0.22,0.96
2026-04-14,688568,60.05,62.22,62.23,59.67,138591,848541649.0,4.28,4.05,2.42,1.72
2026-04-15,688568,61.75,60.22,64.0,59.88,190483,1178855942.0,6.62,-3.21,-2.0,2.36
2026-04-16,688568,60.29,61.0,61.71,58.7,126034,759955860.0,5.0,1.3,0.78,1.56
2026-04-17,688568,60.95,62.05,62.78,60.3,123583,765092243.0,4.07,1.72,1.05,1.53
2026-04-20,688568,62.06,65.26,65.98,61.8,222601,1431810106.0,6.74,5.17,3.21,2.75
2026-04-21,688568,65.97,64.65,66.38,64.06,157151,1018497715.0,3.56,-0.93,-0.61,1.94
2026-04-22,688568,64.16,64.22,65.2,63.33,130811,837098645.0,2.89,-0.67,-0.43,1.62
2026-04-23,688568,64.0,62.61,64.98,62.0,140338,888183869.0,4.64,-2.51,-1.61,1.74
2026-04-24,688568,62.28,60.35,62.33,59.7,141029,854595508.0,4.2,-3.61,-2.26,1.75
2026-04-27,688568,55.0,55.51,56.33,52.74,264966,1455805597.0,5.95,-8.02,-4.84,3.28
2026-04-28,688568,55.46,54.41,56.07,54.04,131623,721710466.0,3.66,-1.98,-1.1,1.63
2026-04-29,688568,54.51,54.8,55.47,53.87,105673,575534176.0,2.94,0.72,0.39,1.31
2026-04-30,688568,54.51,56.65,57.18,54.24,133706,749241036.0,5.36,3.38,1.85,1.65
2026-05-06,688568,57.0,59.69,61.91,56.12,206570,1247139712.0,10.22,5.37,3.04,2.56
2026-05-07,688568,61.25,61.89,62.28,60.25,166041,1019611893.0,3.4,3.69,2.2,2.05
2026-05-08,688568,61.55,66.8,67.06,60.99,307453,1976973019.0,9.81,7.93,4.91,3.8
2026-05-11,688568,68.96,66.0,70.14,64.86,355889,2397501949.0,7.9,-1.2,-0.8,4.4
2026-05-12,688568,66.98,62.77,66.99,62.69,208352,1327298115.0,6.52,-4.89,-3.23,2.58
2026-05-13,688568,62.6,62.52,63.76,61.31,168628,1053562480.0,3.9,-0.4,-0.25,2.09
2026-05-14,688568,63.0,58.27,63.35,58.27,187394,1123163015.0,8.13,-6.8,-4.25,2.32
2026-05-15,688568,58.29,56.2,58.4,55.62,199773,1130974064.0,4.77,-3.55,-2.07,2.47
2026-05-18,688568,56.0,57.55,58.13,55.52,155163,886886670.0,4.64,2.4,1.35,1.92
2026-05-19,688568,57.4,56.35,57.95,55.6,124301,700468494.0,4.08,-2.09,-1.2,1.54
2026-05-20,688568,55.7,55.62,56.52,55.13,101954,566358170.0,2.47,-1.3,-0.73,1.26
2026-05-21,688568,55.9,53.76,56.98,53.57,141835,790154850.0,6.13,-3.34,-1.86,1.76
2026-05-22,688568,53.88,53.6,54.17,52.82,119255,638493855.0,2.51,-0.3,-0.16,1.48
2026-05-25,688568,53.74,54.5,55.5,52.79,138348,748106650.0,5.06,1.68,0.9,1.71
2026-05-26,688568,54.1,52.87,54.1,52.02,113770,599666393.0,3.82,-2.99,-1.63,1.41
2026-05-27,688568,52.88,51.05,53.38,50.56,117790,609872164.0,5.33,-3.44,-1.82,1.46
2026-05-28,688568,51.3,50.63,51.3,49.67,115911,585059927.0,3.19,-0.82,-0.42,1.43
2026-05-29,688568,50.65,48.67,50.85,47.3,145696,707432076.0,7.01,-3.87,-1.96,1.8
2026-06-01,688568,48.19,46.88,48.28,46.72,125654,596075008.0,3.21,-3.68,-1.79,1.55
2026-06-02,688568,47.43,45.81,47.49,45.22,111340,511017232.0,4.84,-2.28,-1.07,1.38
2026-06-03,688568,45.61,46.02,47.62,45.15,130269,601830284.0,5.39,0.46,0.21,1.61
2026-06-04,688568,45.58,44.85,45.9,44.5,106205,478037267.0,3.04,-2.54,-1.17,1.31
2026-06-05,688568,44.86,45.9,46.99,43.91,157116,718370464.0,6.87,2.34,1.05,1.94
2026-06-08,688568,44.0,44.0,46.25,43.26,127118,566771823.0,6.51,-4.14,-1.9,1.57
